                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80939,                 3.1376,                 1.0226,                0.48276,                0.23417,                 0.4654,                0.39944,                0.56102,                 2.3722,                0.84661,              0.0033013,              0.0033013,              0.0033013
                      2,                0.76153,                 1.9154,                0.94453,                0.58556,                0.94053,                 0.6804,                0.57645,                0.62139,                 1.3239,                0.87663,               0.006628,               0.006628,               0.006628
                      3,                 0.8198,                 1.7309,                0.96338,                0.50504,                 0.8641,                 0.6922,                0.56476,                0.71564,                 1.3971,                 0.9175,              0.0099482,              0.0099482,              0.0099482
                      4,                0.83801,                 1.5734,                0.97721,                0.53705,                0.91362,                  0.674,                0.53784,                0.73871,                 1.1126,                0.95031,              0.0099703,              0.0099703,              0.0099703
                      5,                0.80914,                 1.3898,                 0.9781,                0.61877,                0.92791,                0.72812,                0.60488,                0.66683,                 1.1157,                0.92088,              0.0099604,              0.0099604,              0.0099604
                      6,                0.77691,                 1.2646,                0.96599,                0.53143,                0.73663,                0.61947,                 0.4833,                0.81893,                 1.3472,                 1.0068,              0.0099505,              0.0099505,              0.0099505
                      7,                 0.7847,                 1.2054,                0.97674,                0.57483,                0.95053,                0.62922,                0.52527,                0.65495,                 1.1053,                0.91073,              0.0099406,              0.0099406,              0.0099406
                      8,                0.76616,                 1.1308,                0.96678,                0.72079,                0.89316,                0.79655,                0.68007,                0.60122,                0.82485,                0.89875,              0.0099307,              0.0099307,              0.0099307
                      9,                0.74167,                 1.0451,                0.96131,                0.67391,                0.88084,                0.76906,                0.65715,                 0.6226,                0.88134,                0.90076,              0.0099208,              0.0099208,              0.0099208
                     10,                0.73287,                0.99239,                0.94939,                0.63101,                0.93654,                0.77002,                0.65521,                0.61248,                 0.8951,                0.90035,              0.0099109,              0.0099109,              0.0099109
                     11,                0.74027,                 0.9496,                0.96001,                0.72108,                0.96376,                0.82913,                0.71339,                0.60354,                0.68004,                0.89481,               0.009901,               0.009901,               0.009901
                     12,                0.73028,                0.91563,                0.95661,                0.74577,                0.91347,                 0.7985,                0.68389,                0.60912,                0.73171,                 0.9025,              0.0098911,              0.0098911,              0.0098911
                     13,                0.72054,                0.88919,                  0.947,                0.75141,                0.92209,                0.81484,                0.70185,                  0.601,                0.68371,                0.89683,              0.0098812,              0.0098812,              0.0098812
                     14,                0.72373,                0.88064,                0.95146,                0.75401,                 0.9486,                0.84133,                0.71647,                0.59198,                0.61755,                0.89286,              0.0098713,              0.0098713,              0.0098713
                     15,                0.69842,                0.82403,                0.94173,                0.65119,                0.92654,                0.81041,                0.70198,                0.58778,                0.83006,                0.89032,              0.0098614,              0.0098614,              0.0098614
                     16,                0.69132,                0.82699,                0.94209,                0.75547,                0.95545,                0.84873,                0.74192,                0.53563,                0.59187,                0.88047,              0.0098515,              0.0098515,              0.0098515
                     17,                0.69526,                0.80267,                0.94341,                0.71412,                0.88717,                0.82594,                0.70346,                0.61435,                0.66552,                0.89773,              0.0098416,              0.0098416,              0.0098416
                     18,                0.69278,                0.80628,                0.93565,                 0.7644,                0.96681,                0.86238,                0.74824,                0.55003,                0.56946,                0.88601,              0.0098317,              0.0098317,              0.0098317
                     19,                0.68669,                0.78705,                0.93688,                0.75687,                0.96928,                0.84572,                0.73037,                0.55178,                0.57735,                0.88424,              0.0098218,              0.0098218,              0.0098218
                     20,                0.66923,                0.78667,                0.93108,                0.72933,                0.95369,                0.85258,                0.74226,                0.55254,                0.61704,                0.88787,              0.0098119,              0.0098119,              0.0098119
                     21,                0.68068,                0.75267,                0.93152,                 0.7628,                0.94734,                0.81257,                0.71023,                 0.5729,                0.61284,                0.88658,               0.009802,               0.009802,               0.009802
                     22,                0.66817,                0.75058,                0.93605,                0.73362,                0.94582,                0.85657,                0.74907,                0.54881,                0.65068,                0.88706,              0.0097921,              0.0097921,              0.0097921
                     23,                0.66656,                0.74883,                0.93066,                0.78146,                0.96899,                0.88106,                0.77409,                0.54941,                0.54481,                0.88142,              0.0097822,              0.0097822,              0.0097822
                     24,                0.65222,                0.71822,                0.92701,                 0.7863,                0.98052,                0.87301,                0.77088,                0.53704,                0.53276,                0.87521,              0.0097723,              0.0097723,              0.0097723
                     25,                0.65253,                 0.7247,                 0.9159,                0.79382,                0.97764,                0.85054,                0.75359,                0.53149,                0.50574,                0.87792,              0.0097624,              0.0097624,              0.0097624
                     26,                0.65575,                0.69203,                0.92901,                0.76967,                 0.9846,                0.82635,                0.72549,                0.52634,                 0.5191,                0.87417,              0.0097525,              0.0097525,              0.0097525
                     27,                0.65767,                0.69648,                0.93298,                0.79921,                0.97141,                0.85173,                0.74523,                  0.542,                0.50355,                0.87869,              0.0097426,              0.0097426,              0.0097426
                     28,                0.65651,                0.69586,                0.93139,                0.78338,                 0.9854,                 0.8667,                0.76167,                0.53434,                0.52851,                0.87276,              0.0097327,              0.0097327,              0.0097327
                     29,                0.64607,                0.70536,                0.92128,                0.80908,                0.96405,                0.87112,                0.76738,                0.53216,                0.50567,                0.87786,              0.0097228,              0.0097228,              0.0097228
                     30,                0.64673,                0.70684,                0.91951,                0.79559,                0.98985,                0.84381,                0.75032,                0.52145,                0.50291,                 0.8725,              0.0097129,              0.0097129,              0.0097129
                     31,                0.63676,                0.68796,                0.92354,                0.78483,                 0.9698,                0.86082,                 0.7646,                0.51521,                0.50079,                0.86982,               0.009703,               0.009703,               0.009703
                     32,                 0.6445,                0.69055,                0.92303,                0.80261,                0.99324,                0.85059,                0.75379,                0.52978,                0.47239,                 0.8742,              0.0096931,              0.0096931,              0.0096931
                     33,                0.63491,                0.67601,                0.91524,                0.78759,                 0.9617,                0.85871,                0.75661,                 0.5352,                0.52923,                0.87706,              0.0096832,              0.0096832,              0.0096832
                     34,                 0.6347,                 0.6817,                0.91526,                0.80152,                0.96071,                0.86825,                0.76674,                0.53521,                0.48177,                0.87675,              0.0096733,              0.0096733,              0.0096733
                     35,                0.62577,                0.67776,                0.91444,                0.80151,                0.98224,                0.85397,                 0.7548,                0.52019,                0.47026,                0.87182,              0.0096634,              0.0096634,              0.0096634
                     36,                0.63245,                0.65632,                 0.9188,                0.80842,                0.98282,                0.86485,                0.77095,                0.51761,                0.47936,                0.86725,              0.0096535,              0.0096535,              0.0096535
                     37,                0.62276,                0.66322,                0.91634,                0.80355,                0.99017,                 0.8634,                0.76974,                0.50807,                0.46902,                0.86478,              0.0096436,              0.0096436,              0.0096436
                     38,                0.62332,                0.66068,                0.91681,                0.79859,                0.98235,                0.85256,                0.75588,                0.50725,                0.47368,                0.86688,              0.0096337,              0.0096337,              0.0096337
                     39,                 0.6279,                0.67495,                0.91787,                0.78298,                0.97738,                0.83265,                0.74173,                0.51257,                0.50892,                0.87287,              0.0096238,              0.0096238,              0.0096238
                     40,                0.62987,                0.68255,                0.91829,                0.79411,                0.97589,                0.83485,                 0.7392,                0.53115,                0.50222,                0.87543,              0.0096139,              0.0096139,              0.0096139
                     41,                0.62069,                 0.6661,                0.92308,                0.79578,                0.98326,                0.83695,                0.74808,                 0.5065,                0.47596,                 0.8648,               0.009604,               0.009604,               0.009604
                     42,                0.61368,                0.65282,                0.91447,                0.79993,                0.98732,                0.85517,                0.75938,                0.51368,                0.46456,                0.87494,              0.0095941,              0.0095941,              0.0095941
                     43,                0.60743,                0.63645,                0.90964,                0.81497,                0.98899,                0.85321,                  0.751,                0.52587,                0.46192,                0.87191,              0.0095842,              0.0095842,              0.0095842
                     44,                0.60982,                0.66764,                 0.9146,                0.79226,                0.97394,                0.84508,                0.74696,                0.51482,                0.48624,                0.86823,              0.0095743,              0.0095743,              0.0095743
